ID,Name,Clone URL,Stars
1,SUSTech-EE-Course-Hero,https://github.com/drinktoomuchsax/SUSTech-EE-Course-Hero.git,40
2,sustech_door_kit,https://github.com/drinktoomuchsax/sustech_door_kit.git,21
3,SUSTech-EE205-Signals-and-Systems-Lab,https://github.com/Gralerfics/SUSTech-EE205-Signals-and-Systems-Lab.git,14
4,SUSTech-EE332-Digital-System-Designing-Laboratory,https://github.com/Gralerfics/SUSTech-EE332-Digital-System-Designing-Laboratory.git,13
5,EE205-Assignments,https://github.com/StortInter/EE205-Assignments.git,11
6,ee326-sp21,https://github.com/sghuang19/ee326-sp21.git,9
7,SUSTech-EE208-Engineering-Electromagnetic-Theory-Laboratory,https://github.com/Gralerfics/SUSTech-EE208-Engineering-Electromagnetic-Theory-Laboratory.git,6
8,SUSTech-EE368-Robotic-Motion-and-Control-Project,https://github.com/Gralerfics/SUSTech-EE368-Robotic-Motion-and-Control-Project.git,6
9,SUSTech_EE205_project,https://github.com/sparkcyf/SUSTech_EE205_project.git,5
10,SUSTech-EE211-Robotic-Perception-and-Intelligence-Laboratory,https://github.com/Gralerfics/SUSTech-EE211-Robotic-Perception-and-Intelligence-Laboratory.git,5
11,SUSTech_EE326_Digital_image_Processing,https://github.com/sparkcyf/SUSTech_EE326_Digital_image_Processing.git,4
12,SUSTech-EE326-Digital-Image-Processing-Project,https://github.com/Gralerfics/SUSTech-EE326-Digital-Image-Processing-Project.git,3
